Image_name,RegionNo.,Stat,Aperture(um),Area(um^2),Long_axis_length(um),Aperture/Long_axis_length(arbitrary),Centroid(X)(px),Centroid(Y)(px),Eccentricity(arbitrary),Solidity(arbitrary)
6,1,open,10.27456621339355,218.21952160493828,80.75387382371194,0.3664313461812481,99.47127071823205,87.4171270718232,0.9304450916286239,0.9164556962025316
6,2,open,9.520035203347785,189.16377314814815,74.09946310370785,0.3700121463399601,91.34353091140854,90.78648820905035,0.929026916488912,0.9637592137592138
6,3,open,8.850865137526194,189.8871527777778,79.84975135356666,0.31923069469817267,105.9968253968254,97.44,0.9476770354728039,0.9505129752564876
6,4,open,8.12668176946958,170.47646604938274,78.4488568425043,0.29834524603794393,112.64002828854314,71.25459688826025,0.9544580211651839,0.9651877133105802
6,5,open,8.463907342965431,176.9868827160494,77.8194416496022,0.31323860247544,100.0524523160763,95.85899182561307,0.9496744589169666,0.9721854304635762
6,6,open,9.094347201445263,194.3479938271605,88.42396273465226,0.29620613157498926,91.8697270471464,98.76674937965261,0.955124037817801,0.9117647058823529
6,7,open,7.7226372485913,174.21392746913583,83.22754981447575,0.2672335702002672,82.89411764705882,80.86089965397925,0.9636317859836395,0.9646194926568759
6,8,open,8.590070243659657,184.70293209876544,82.64154884456397,0.29935792162209857,105.05809399477806,100.73629242819844,0.9541408883189618,0.9450956199876619
6,9,open,12.349593297315106,243.65837191358025,80.02393627367398,0.4444523770316978,108.22958931222168,87.3671449777338,0.89580248076843,0.9006238859180036
6,11,open,8.992041249382558,183.617862654321,76.60729998731048,0.33804975247151975,98.34931057124098,105.00328299409061,0.9411282403870072,0.9651457541191382
6,12,open,8.774515787719126,160.83140432098767,72.05964952633995,0.3506900968120019,90.22638680659671,82.39355322338831,0.9364915674996699,0.9394366197183098
7,1,open,9.520772613460506,198.56770833333334,81.05266359080835,0.3382964101611062,99.20097146326654,112.60898603521554,0.9410396053685034,0.9509237875288684
7,2,open,7.675906411998273,145.39930555555557,82.43070581902406,0.26818417053336785,98.6575456053068,95.4212271973466,0.9633676612152442,0.881578947368421
7,3,open,7.191368012048217,142.26466049382717,74.0520613794239,0.27968350224013694,101.25,89.06271186440678,0.9600922552414906,0.9539207760711399
7,4,partially_open,6.1752108812363335,146.24324845679013,88.28721883371051,0.20144033952930437,137.61005770816158,155.67765869744434,0.9795007859161311,0.9395817195972115
7,5,open,9.675615648679097,235.82175925925927,91.37720792141515,0.3049532120981471,107.23517382413088,103.1221881390593,0.9523673337693931,0.9640216855593888
7,6,open,10.311564287521172,205.19868827160494,89.14842323785146,0.3331220460156363,112.03466509988249,101.09870740305523,0.9428837162971669,0.8741653826399589
7,7,partially_open,6.265283613362108,146.96662808641977,86.56846869541768,0.2084363634751228,103.56521739130434,85.61443806398688,0.9780359310277238,0.9545810493343775
7,8,open,6.3901480218420845,142.7469135802469,82.3164001644627,0.22357180666472268,100.06587837837837,84.48395270270271,0.9746874613252556,0.9633848657445078
7,9,open,11.39769611040319,202.30516975308643,82.92779162498229,0.39583068781578923,127.71692491060787,99.72824791418356,0.9183235086739745,0.8565594691168964
7,10,open,9.665812025365257,199.4116512345679,92.73648924188218,0.30017891404584024,94.5223700120919,95.92382103990326,0.9538829171141813,0.8691539674198634
